Ligands	Receptors	source	Organism	Ligands_bchi	Receptors_bchi	Ligands_atha_symbol	Ligands_atha_description	Receptors_atha_symbol	Receptors_atha_description
AT3G52370	AT2G47900	STRING	Arabidopsis thaliana	Bch04G008210	Bch04G037520	None	FASCICLIN-like arabinogalactan protein 15 precursor	TLP3	tubby like protein 3
AT3G52370	AT5G03170	STRING	Arabidopsis thaliana	Bch04G008210	Bch02G000870	None	FASCICLIN-like arabinogalactan protein 15 precursor	FLA11	FASCICLIN-like arabinogalactan-protein 11
AT3G52370	AT2G04780	STRING	Arabidopsis thaliana	Bch04G008210	Bch03G045220	None	FASCICLIN-like arabinogalactan protein 15 precursor	FLA7	FASCICLIN-like arabinoogalactan 7
AT3G52370	AT4G12730	STRING	Arabidopsis thaliana	Bch04G008210	Bch01G026370	None	FASCICLIN-like arabinogalactan protein 15 precursor	FLA2	FASCICLIN-like arabinogalactan 2
AT3G52370	AT4G31370	STRING	Arabidopsis thaliana	Bch04G008210	Bch08G021230	None	FASCICLIN-like arabinogalactan protein 15 precursor	FLA5	FASCICLIN-like arabinogalactan protein 5 precursor
AT3G52370	AT3G60900	STRING	Arabidopsis thaliana	Bch04G008210	Bch09G057970	None	FASCICLIN-like arabinogalactan protein 15 precursor	FLA10	FASCICLIN-like arabinogalactan-protein 10
AT3G52820	AT5G58050	STRING	Arabidopsis thaliana	Bch09G050810	Bch02G013110	PAP22	purple acid phosphatase 22	SVL4	SHV3-like 4
AT3G52840	AT1G65590	STRING	Arabidopsis thaliana	Bch01G017980	Bch07G035220	None	beta-galactosidase 2	HEXO3	beta-hexosaminidase 3
AT3G52840	AT1G05590	STRING	Arabidopsis thaliana	Bch01G017980	Bch09G072490	None	beta-galactosidase 2	HEXO2	beta-hexosaminidase 2
AT3G53230	AT3G09840	STRING	Arabidopsis thaliana	Bch03G001200	Bch01G047220	AtCDC48B	ATPase, AAA-type, CDC48 protein	CDC48A	cell division cycle 48
AT3G53230	AT4G16640	STRING	Arabidopsis thaliana	Bch03G001200	Bch03G050890	AtCDC48B	ATPase, AAA-type, CDC48 protein	AT1-MMP	Matrixin family protein
AT3G53230	AT1G24140	STRING	Arabidopsis thaliana	Bch03G001200	Bch09G045310	AtCDC48B	ATPase, AAA-type, CDC48 protein	AT3-MMP	Matrixin family protein
AT3G53230	AT3G28860	STRING	Arabidopsis thaliana	Bch03G001200	Bch06G042720	AtCDC48B	ATPase, AAA-type, CDC48 protein	ABCB19	ATP binding cassette subfamily B19
AT3G53230	AT2G45040	STRING	Arabidopsis thaliana	Bch03G001200	Bch05G005230	AtCDC48B	ATPase, AAA-type, CDC48 protein	None	Matrixin family protein
AT3G53230	AT1G65590	STRING	Arabidopsis thaliana	Bch03G001200	Bch07G035220	AtCDC48B	ATPase, AAA-type, CDC48 protein	HEXO3	beta-hexosaminidase 3
AT3G53230	AT1G70170	STRING	Arabidopsis thaliana	Bch03G001200	Bch07G033310	AtCDC48B	ATPase, AAA-type, CDC48 protein	MMP	matrix metalloproteinase
AT3G53230	AT1G59970	STRING	Arabidopsis thaliana	Bch03G001200	Bch09G018970	AtCDC48B	ATPase, AAA-type, CDC48 protein	AT5-MMP	Matrixin family protein
AT3G53230	AT1G55350	STRING	Arabidopsis thaliana	Bch03G001200	Bch06G000460	AtCDC48B	ATPase, AAA-type, CDC48 protein	DEK1	calpain-type cysteine protease family
AT3G54590	AT4G40090	STRING	Arabidopsis thaliana	Bch07G024300	Bch01G001010	EXT2	hydroxyproline-rich glycoprotein	AGP3	arabinogalactan protein 3
AT3G55500	AT1G74190	STRING	Arabidopsis thaliana	Bch09G053250	Bch02G025070	EXPA16	expansin A16	RLP15	receptor like protein 15
AT3G56310	AT3G09840	STRING	Arabidopsis thaliana	Bch09G054090	Bch01G047220	AGAL3	Melibiase family protein	CDC48A	cell division cycle 48
AT3G56310	AT1G65590	STRING	Arabidopsis thaliana	Bch09G054090	Bch07G035220	AGAL3	Melibiase family protein	HEXO3	beta-hexosaminidase 3
AT3G56310	AT1G05590	STRING	Arabidopsis thaliana	Bch09G054090	Bch09G072490	AGAL3	Melibiase family protein	HEXO2	beta-hexosaminidase 2
AT3G56310	AT1G59970	STRING	Arabidopsis thaliana	Bch09G054090	Bch09G018970	AGAL3	Melibiase family protein	AT5-MMP	Matrixin family protein
AT3G57240	AT1G14880	STRING	Arabidopsis thaliana	Bch07G025290	Bch09G066680	BG3	beta-1,3-glucanase 3	PCR1	PLANT CADMIUM RESISTANCE 1
AT3G57260	AT1G21250	STRING	Arabidopsis thaliana	Bch09G054990	Bch08G031720	PR2	beta-1,3-glucanase 2	WAK1	cell wall-associated kinase
AT3G57260	AT5G08000	STRING	Arabidopsis thaliana	Bch09G054990	Bch10G032350	PR2	beta-1,3-glucanase 2	None	glucan endo-1,3-beta-glucosidase-like protein 3
AT3G57260	AT4G23150	STRING	Arabidopsis thaliana	Bch09G054990	Bch03G055090	PR2	beta-1,3-glucanase 2	CRK7	cysteine-rich RLK (RECEPTOR-like protein kinase) 7
AT3G57260	AT4G23140	STRING	Arabidopsis thaliana	Bch09G054990	Bch03G055110	PR2	beta-1,3-glucanase 2		
AT3G57260	AT2G32680	STRING	Arabidopsis thaliana	Bch09G054990	Bch04G022100	PR2	beta-1,3-glucanase 2	RLP23	receptor like protein 23
AT3G57510	AT3G54920	STRING	Arabidopsis thaliana	Bch09G055180	Bch07G024440	ADPG1	Pectin lyase-like superfamily protein	PMR6	Pectin lyase-like superfamily protein
AT3G59010	AT3G61260	STRING	Arabidopsis thaliana	Bch09G056250	Bch09G058190	PME61	pectin methylesterase 61	REM1.2	Remorin family protein
AT3G60730	AT2G40540	STRING	Arabidopsis thaliana	Bch09G057730	Bch04G033170	PMEI-PME65	Plant invertase/pectin methylesterase inhibitor superfamily	KT2	potassium transporter 2
AT3G62020	AT1G20850	STRING	Arabidopsis thaliana	Bch09G058880	Bch08G031930	GLP10	germin-like protein 10	XCP2	xylem cysteine peptidase 2
AT3G62020	AT4G35350	STRING	Arabidopsis thaliana	Bch09G058880	Bch01G003270	GLP10	germin-like protein 10		xylem cysteine peptidase 1
AT3G62680	AT4G40090	STRING	Arabidopsis thaliana	Bch07G028000	Bch01G001010	PRP3	proline-rich protein 3	AGP3	arabinogalactan protein 3
AT3G62680	AT1G70460	STRING	Arabidopsis thaliana	Bch07G028000	Bch07G039310	PRP3	proline-rich protein 3		
AT3G62680	AT5G49270	STRING	Arabidopsis thaliana	Bch07G028000	Bch09G004890	PRP3	proline-rich protein 3	SHV2	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
AT3G62680	AT4G34580	STRING	Arabidopsis thaliana	Bch07G028000	Bch08G019220	PRP3	proline-rich protein 3	COW1	Sec14p-like phosphatidylinositol transfer family protein
AT3G62680	AT2G20520	STRING	Arabidopsis thaliana	Bch07G028000	Bch06G049890	PRP3	proline-rich protein 3	FLA6	FASCICLIN-like arabinogalactan 6
AT3G62680	AT4G29180	STRING	Arabidopsis thaliana	Bch07G028000	Bch03G059790	PRP3	proline-rich protein 3	RHS16	root hair specific 16
AT3G66658	AT3G01390	STRING	Arabidopsis thaliana	Bch05G045390	Bch05G047810	ALDH22A1	aldehyde dehydrogenase 22A1	VMA10	vacuolar membrane ATPase 10
AT4G00190	AT2G27810	STRING	Arabidopsis thaliana	Bch03G025420	Bch04G023710	PME38	pectin methylesterase 38	None	nucleobase-ascorbate transporter 12
AT4G02270	AT4G19680	STRING	Arabidopsis thaliana	Bch02G030690	Bch01G011850	RHS13	root hair specific 13	IRT2	iron regulated transporter 2
AT4G02270	AT4G40090	STRING	Arabidopsis thaliana	Bch02G030690	Bch01G001010	RHS13	root hair specific 13	AGP3	arabinogalactan protein 3
AT4G02270	AT5G49270	STRING	Arabidopsis thaliana	Bch02G030690	Bch09G004890	RHS13	root hair specific 13	SHV2	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
AT4G02270	AT2G20520	STRING	Arabidopsis thaliana	Bch02G030690	Bch06G049890	RHS13	root hair specific 13	FLA6	FASCICLIN-like arabinogalactan 6
AT4G02270	AT4G29180	STRING	Arabidopsis thaliana	Bch02G030690	Bch03G059790	RHS13	root hair specific 13	RHS16	root hair specific 16
AT4G02320	AT3G54920	STRING	Arabidopsis thaliana	Bch09G001790	Bch07G024440	PMEI-PME40	Plant invertase/pectin methylesterase inhibitor superfamily	PMR6	Pectin lyase-like superfamily protein
AT4G02330	AT3G54920	STRING	Arabidopsis thaliana	Bch09G001810	Bch07G024440	ATPMEPCRB	Plant invertase/pectin methylesterase inhibitor superfamily	PMR6	Pectin lyase-like superfamily protein
AT4G02350	AT3G53610	STRING	Arabidopsis thaliana	Bch02G030710	Bch04G006870	SEC15B	exocyst complex component sec15B	RAB8	RAB GTPase homolog 8
AT4G02350	AT3G09900	STRING	Arabidopsis thaliana	Bch02G030710	Bch03G001280	SEC15B	exocyst complex component sec15B	RABE1e	RAB GTPase homolog E1E
AT4G02350	AT5G03520	STRING	Arabidopsis thaliana	Bch02G030710	Bch03G001280	SEC15B	exocyst complex component sec15B	RAB8C	RAB GTPase homolog 8C
AT4G02350	AT1G08860	STRING	Arabidopsis thaliana	Bch02G030710	Bch09G070750	SEC15B	exocyst complex component sec15B	BON3	Calcium-dependent phospholipid-binding Copine family protein
AT4G02350	AT3G46060	STRING	Arabidopsis thaliana	Bch02G030710	Bch01G027980	SEC15B	exocyst complex component sec15B	RABE1c	RAB GTPase homolog 8A
AT4G02350	AT3G11820	STRING	Arabidopsis thaliana	Bch02G030710	Bch03G037790	SEC15B	exocyst complex component sec15B	SYP121	syntaxin of plants 121
AT4G03210	AT5G09870	STRING	Arabidopsis thaliana	Bch03G030870	Bch03G004250	XTH9	xyloglucan endotransglucosylase/hydrolase 9	CESA5	cellulose synthase 5
AT4G03210	AT5G36870	STRING	Arabidopsis thaliana	Bch03G030870	Bch05G013840	XTH9	xyloglucan endotransglucosylase/hydrolase 9	GSL09	glucan synthase-like 9
AT4G03210	AT5G13000	STRING	Arabidopsis thaliana	Bch03G030870	Bch02G005100	XTH9	xyloglucan endotransglucosylase/hydrolase 9	GSL12	glucan synthase-like 12
AT4G03930	AT3G54920	STRING	Arabidopsis thaliana	Bch09G069360	Bch07G024440	PME42	Plant invertase/pectin methylesterase inhibitor superfamily	PMR6	Pectin lyase-like superfamily protein
AT4G03930	AT5G46630	STRING	Arabidopsis thaliana	Bch09G069360	Bch02G038710	PME42	Plant invertase/pectin methylesterase inhibitor superfamily	AP2M	Clathrin adaptor complexes medium subunit family protein
AT4G04460	AT3G09840	STRING	Arabidopsis thaliana	Bch09G027300	Bch01G047220	PaspA3	Saposin-like aspartyl protease family protein	CDC48A	cell division cycle 48
AT4G04460	AT5G47510	STRING	Arabidopsis thaliana	Bch09G027300	Bch06G047460	PaspA3	Saposin-like aspartyl protease family protein	None	Sec14p-like phosphatidylinositol transfer family protein
AT4G04460	AT1G24140	STRING	Arabidopsis thaliana	Bch09G027300	Bch09G045310	PaspA3	Saposin-like aspartyl protease family protein	AT3-MMP	Matrixin family protein
AT4G04460	AT4G16640	STRING	Arabidopsis thaliana	Bch09G027300	Bch03G050890	PaspA3	Saposin-like aspartyl protease family protein	AT1-MMP	Matrixin family protein
AT4G04460	AT5G10080	STRING	Arabidopsis thaliana	Bch09G027300	Bch10G031060	PaspA3	Saposin-like aspartyl protease family protein	None	Eukaryotic aspartyl protease family protein
AT4G04460	AT2G45040	STRING	Arabidopsis thaliana	Bch09G027300	Bch05G005230	PaspA3	Saposin-like aspartyl protease family protein	None	Matrixin family protein
AT4G04460	AT1G70170	STRING	Arabidopsis thaliana	Bch09G027300	Bch07G033310	PaspA3	Saposin-like aspartyl protease family protein	MMP	matrix metalloproteinase
AT4G04460	AT1G59970	STRING	Arabidopsis thaliana	Bch09G027300	Bch09G018970	PaspA3	Saposin-like aspartyl protease family protein	AT5-MMP	Matrixin family protein
AT4G04460	AT1G55350	STRING	Arabidopsis thaliana	Bch09G027300	Bch06G000460	PaspA3	Saposin-like aspartyl protease family protein	DEK1	calpain-type cysteine protease family
AT4G08485	AT5G10530	STRING	Arabidopsis thaliana	Bch05G012060	Bch02G003920	None	Defensin-like (DEFL) family protein	LecRK-IX.1	Concanavalin A-like lectin protein kinase family protein
AT4G08950	AT5G66210	STRING	Arabidopsis thaliana	Bch03G028640	Bch07G019840	EXO	Phosphate-responsive 1 family protein	CPK28	calcium-dependent protein kinase 28
AT4G09647	AT4G05110	STRING	Arabidopsis thaliana	Bch08G039730	Bch09G026500	None	S locus-related glycoprotein 1 (SLR1) binding pollen coat protein family	None	equilibrative nucleoside transporter 6
AT4G09647	AT4G05130	STRING	Arabidopsis thaliana	Bch08G039730	Bch09G026490	None	S locus-related glycoprotein 1 (SLR1) binding pollen coat protein family	ENT4	equilibrative nucleoside transporter 4
AT4G09647	AT4G05140	STRING	Arabidopsis thaliana	Bch08G039730	Bch09G026500	None	S locus-related glycoprotein 1 (SLR1) binding pollen coat protein family	None	Nucleoside transporter family protein
AT4G09647	AT4G05120	STRING	Arabidopsis thaliana	Bch08G039730	Bch09G026500	None	S locus-related glycoprotein 1 (SLR1) binding pollen coat protein family	FUR1	Major facilitator superfamily protein
AT4G10510	AT2G20520	STRING	Arabidopsis thaliana	Bch09G030000	Bch06G049890	None	Subtilase family protein	FLA6	FASCICLIN-like arabinogalactan 6
AT4G12420	AT5G60920	STRING	Arabidopsis thaliana	Bch02G031880	Bch03G047540	SKU5	Cupredoxin superfamily protein	COB	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
AT4G12420	AT5G15350	STRING	Arabidopsis thaliana	Bch02G031880	Bch03G007320	SKU5	Cupredoxin superfamily protein	ENODL17	early nodulin-like protein 17
AT4G12420	AT2G04780	STRING	Arabidopsis thaliana	Bch02G031880	Bch03G045220	SKU5	Cupredoxin superfamily protein	FLA7	FASCICLIN-like arabinoogalactan 7
AT4G12420	AT5G55480	STRING	Arabidopsis thaliana	Bch02G031880	Bch10G014810	SKU5	Cupredoxin superfamily protein	SVL1	SHV3-like 1
AT4G12420	AT5G07280	STRING	Arabidopsis thaliana	Bch02G031880	Bch10G032780	SKU5	Cupredoxin superfamily protein	EMS1	Leucine-rich repeat transmembrane protein kinase
AT4G12420	AT3G23750	STRING	Arabidopsis thaliana	Bch02G031880	Bch01G034920	SKU5	Cupredoxin superfamily protein	BARK1	Leucine-rich repeat protein kinase family protein
AT4G12960	AT4G38430	STRING	Arabidopsis thaliana	Bch08G001660	Bch07G010350	GILT	Gamma interferon responsive lysosomal thiol (GILT) reductase family protein	ROPGEF1	rho guanyl-nucleotide exchange factor 1
AT4G12960	AT4G12780	STRING	Arabidopsis thaliana	Bch08G001660	Bch08G017390	GILT	Gamma interferon responsive lysosomal thiol (GILT) reductase family protein	AUXILIN-LIKE1	Chaperone DnaJ-domain superfamily protein
AT4G12970	AT5G07180	STRING	Arabidopsis thaliana	Bch08G001600	Bch10G032660	STO	stomagen	ERL2	ERECTA-like 2
AT4G12970	AT5G60880	STRING	Arabidopsis thaliana	Bch08G001600	Bch09G007370	STO	stomagen	BASL	breaking of asymmetry in the stomatal lineage
AT4G12970	AT1G62400	STRING	Arabidopsis thaliana	Bch08G001600	Bch09G017310	STO	stomagen	HT1	Protein kinase superfamily protein
AT4G12970	AT1G80080	STRING	Arabidopsis thaliana	Bch08G001600	Bch07G028460	STO	stomagen	TMM	Leucine-rich repeat (LRR) family protein
AT4G12970	AT5G62230	STRING	Arabidopsis thaliana	Bch08G001600	Bch06G030520	STO	stomagen	ERL1	ERECTA-like 1
AT4G13075	AT2G25470	STRING	Arabidopsis thaliana	Bch01G045600	Bch07G042450	RALFL30	RALF-like 30	None	receptor like protein 21
AT4G13090	AT1G11820	STRING	Arabidopsis thaliana	Bch03G037900	Bch08G036000	XTH2	xyloglucan endotransglucosylase/hydrolase 2	PdBG4	O-Glycosyl hydrolases family 17 protein
AT4G13195	AT5G05160	STRING	Arabidopsis thaliana	Bch03G044680	Bch10G034750	CLE44	CLAVATA3/ESR-RELATED 44	RUL1	Leucine-rich repeat protein kinase family protein
AT4G13195	AT1G75820	STRING	Arabidopsis thaliana	Bch03G044680	Bch07G043650	CLE44	CLAVATA3/ESR-RELATED 44	CLV1	Leucine-rich receptor-like protein kinase family protein
AT4G13195	AT5G61480	STRING	Arabidopsis thaliana	Bch03G044680	Bch03G048040	CLE44	CLAVATA3/ESR-RELATED 44	PXY	Leucine-rich repeat protein kinase family protein
AT4G13340	AT4G12730	STRING	Arabidopsis thaliana	Bch09G017270	Bch01G026370	LRX3	Leucine-rich repeat (LRR) family protein	FLA2	FASCICLIN-like arabinogalactan 2
AT4G13580	AT3G11550	STRING	Arabidopsis thaliana	Bch08G001020	Bch03G037650	DIR18	Disease resistance-responsive (dirigent-like protein) family protein	CASP2	Uncharacterized protein family (UPF0497)
AT4G13580	AT2G36100	STRING	Arabidopsis thaliana	Bch08G001020	Bch03G020160	DIR18	Disease resistance-responsive (dirigent-like protein) family protein	CASP1	Uncharacterized protein family (UPF0497)
AT4G13700	AT4G23320	STRING	Arabidopsis thaliana	Bch08G000910	Bch01G014840	PAP23	purple acid phosphatase 23	None	cysteine-rich RLK (RECEPTOR-like protein kinase) 24
AT4G13700	AT1G23140	STRING	Arabidopsis thaliana	Bch08G000910	Bch09G046300	PAP23	purple acid phosphatase 23	CAR8	Calcium-dependent lipid-binding (CaLB domain) family protein
AT4G14010	AT5G24105	STRING	Arabidopsis thaliana	Bch04G009380	Bch10G012860	RALFL32	ralf-like 32	AGP41	arabinogalactan protein 41
AT4G14010	AT1G07490	STRING	Arabidopsis thaliana	Bch04G009380	Bch09G071460	RALFL32	ralf-like 32	RTFL3	ROTUNDIFOLIA like 3
AT4G14010	AT1G67265	STRING	Arabidopsis thaliana	Bch04G009380	Bch10G026630	RALFL32	ralf-like 32	RTFL21	ROTUNDIFOLIA like 21
AT4G14010	AT3G25717	STRING	Arabidopsis thaliana	Bch04G009380	Bch10G026630	RALFL32	ralf-like 32	RTFL16	ROTUNDIFOLIA like 16
AT4G14010	AT4G13395	STRING	Arabidopsis thaliana	Bch04G009380	Bch08G001120	RALFL32	ralf-like 32	RTFL12	ROTUNDIFOLIA like 12
AT4G14010	AT2G46330	STRING	Arabidopsis thaliana	Bch04G009380	Bch05G001590	RALFL32	ralf-like 32	AGP16	arabinogalactan protein 16
AT4G14010	AT1G55330	STRING	Arabidopsis thaliana	Bch04G009380	Bch05G039850	RALFL32	ralf-like 32	AGP21	arabinogalactan protein 21
AT4G14010	AT5G40730	STRING	Arabidopsis thaliana	Bch04G009380	Bch04G016100	RALFL32	ralf-like 32	AGP24	arabinogalactan protein 24
AT4G14010	AT3G13520	STRING	Arabidopsis thaliana	Bch04G009380	Bch05G039850	RALFL32	ralf-like 32	AGP12	arabinogalactan protein 12
AT4G14010	AT3G61640	STRING	Arabidopsis thaliana	Bch04G009380	Bch04G001130	RALFL32	ralf-like 32	AGP20	arabinogalactan protein 20
AT4G14723	AT1G80080	STRING	Arabidopsis thaliana	Bch01G023960	Bch07G028460	CLL2	EPIDERMAL PATTERNING FACTOR-like protein	TMM	Leucine-rich repeat (LRR) family protein
AT4G14723	AT5G62230	STRING	Arabidopsis thaliana	Bch01G023960	Bch06G030520	CLL2	EPIDERMAL PATTERNING FACTOR-like protein	ERL1	ERECTA-like 1
AT4G14723	AT5G07180	STRING	Arabidopsis thaliana	Bch01G023960	Bch10G032660	CLL2	EPIDERMAL PATTERNING FACTOR-like protein	ERL2	ERECTA-like 2
AT4G14723	AT5G61480	STRING	Arabidopsis thaliana	Bch01G023960	Bch03G048040	CLL2	EPIDERMAL PATTERNING FACTOR-like protein	PXY	Leucine-rich repeat protein kinase family protein
AT4G14940	AT1G24140	STRING	Arabidopsis thaliana	Bch01G023510	Bch09G045310	AO1	amine oxidase 1	AT3-MMP	Matrixin family protein
AT4G14940	AT2G45040	STRING	Arabidopsis thaliana	Bch01G023510	Bch05G005230	AO1	amine oxidase 1	None	Matrixin family protein
AT4G14940	AT1G59970	STRING	Arabidopsis thaliana	Bch01G023510	Bch09G018970	AO1	amine oxidase 1	AT5-MMP	Matrixin family protein
AT4G14940	AT1G70170	STRING	Arabidopsis thaliana	Bch01G023510	Bch07G033310	AO1	amine oxidase 1	MMP	matrix metalloproteinase
AT4G14940	AT4G16640	STRING	Arabidopsis thaliana	Bch01G023510	Bch03G050890	AO1	amine oxidase 1	AT1-MMP	Matrixin family protein
AT4G15800	AT5G24105	STRING	Arabidopsis thaliana	Bch03G050190	Bch10G012860	RALFL33	ralf-like 33	AGP41	arabinogalactan protein 41
AT4G15800	AT1G07490	STRING	Arabidopsis thaliana	Bch03G050190	Bch09G071460	RALFL33	ralf-like 33	RTFL3	ROTUNDIFOLIA like 3
AT4G15800	AT1G67265	STRING	Arabidopsis thaliana	Bch03G050190	Bch10G026630	RALFL33	ralf-like 33	RTFL21	ROTUNDIFOLIA like 21
AT4G15800	AT3G25717	STRING	Arabidopsis thaliana	Bch03G050190	Bch10G026630	RALFL33	ralf-like 33	RTFL16	ROTUNDIFOLIA like 16
AT4G15800	AT4G13395	STRING	Arabidopsis thaliana	Bch03G050190	Bch08G001120	RALFL33	ralf-like 33	RTFL12	ROTUNDIFOLIA like 12
AT4G15800	AT2G46330	STRING	Arabidopsis thaliana	Bch03G050190	Bch05G001590	RALFL33	ralf-like 33	AGP16	arabinogalactan protein 16
AT4G15800	AT1G55330	STRING	Arabidopsis thaliana	Bch03G050190	Bch05G039850	RALFL33	ralf-like 33	AGP21	arabinogalactan protein 21
AT4G15800	AT5G40730	STRING	Arabidopsis thaliana	Bch03G050190	Bch04G016100	RALFL33	ralf-like 33	AGP24	arabinogalactan protein 24
AT4G15800	AT3G13520	STRING	Arabidopsis thaliana	Bch03G050190	Bch05G039850	RALFL33	ralf-like 33	AGP12	arabinogalactan protein 12
AT4G15800	AT3G61640	STRING	Arabidopsis thaliana	Bch03G050190	Bch04G001130	RALFL33	ralf-like 33	AGP20	arabinogalactan protein 20
AT4G16195	AT5G10530	STRING	Arabidopsis thaliana	Bch03G050520	Bch02G003920	None	Plant self-incompatibility protein S1 family	LecRK-IX.1	Concanavalin A-like lectin protein kinase family protein
AT4G16260	AT3G48890	STRING	Arabidopsis thaliana	Bch01G022090	Bch06G029410	None	Glycosyl hydrolase superfamily protein	MAPR3	membrane-associated progesterone binding protein 3
AT4G16295	AT3G25610	STRING	Arabidopsis thaliana	Bch03G059650	Bch02G042690	SPH1	S-protein homologue 1	ALA10	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein
AT4G18510	AT1G75820	STRING	Arabidopsis thaliana	Bch01G010850	Bch07G043650	CLE2	CLAVATA3/ESR-related 2	CLV1	Leucine-rich receptor-like protein kinase family protein
AT4G18510	AT5G13290	STRING	Arabidopsis thaliana	Bch01G010850	Bch03G006120	CLE2	CLAVATA3/ESR-related 2	CRN	Protein kinase superfamily protein
AT4G18510	AT1G65380	STRING	Arabidopsis thaliana	Bch01G010850	Bch02G018600	CLE2	CLAVATA3/ESR-related 2	CLV2	Leucine-rich repeat (LRR) family protein
AT4G18670	AT1G55330	STRING	Arabidopsis thaliana	Bch01G011020	Bch05G039850	LRX5	Leucine-rich repeat (LRR) family protein	AGP21	arabinogalactan protein 21
AT4G18670	AT2G14890	STRING	Arabidopsis thaliana	Bch01G011020	Bch09G011240	LRX5	Leucine-rich repeat (LRR) family protein	AGP9	arabinogalactan protein 9
AT4G18823	AT2G25540	STRING	Arabidopsis thaliana	Bch01G010390	Bch01G006050	None	Defensin-like (DEFL) family protein	CESA10	cellulose synthase A catalytic subunit 3 UDP-forming-like protein
AT4G18970	AT1G18280	STRING	Arabidopsis thaliana	Bch03G052610	Bch08G033250	GGL22	GDSL-like Lipase/Acylhydrolase superfamily protein	LTPG3	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT4G19410	AT1G18280	STRING	Arabidopsis thaliana	Bch08G016830	Bch08G033250	PAE7	Pectinacetylesterase family protein	LTPG3	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT4G19420	AT1G18280	STRING	Arabidopsis thaliana	Bch01G011580	Bch08G033250	None	Pectinacetylesterase family protein	LTPG3	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT4G20050	AT3G09090	STRING	Arabidopsis thaliana	Bch01G012100	Bch01G047590	PGF11	Pectin lyase-like superfamily protein	DEX1	defective in exine formation protein (DEX1)
AT4G20050	AT2G13680	STRING	Arabidopsis thaliana	Bch01G012100	Bch09G011060	PGF11	Pectin lyase-like superfamily protein	CALS5	callose synthase 5
AT4G20830	AT4G23190	STRING	Arabidopsis thaliana	Bch01G012550	Bch01G014490	AtBBE19	FAD-binding Berberine family protein		cysteine-rich RLK (RECEPTOR-like protein kinase) 11
AT4G20830	AT3G11820	STRING	Arabidopsis thaliana	Bch01G012550	Bch03G037790	AtBBE19	FAD-binding Berberine family protein	SYP121	syntaxin of plants 121
AT4G20830	AT5G48380	STRING	Arabidopsis thaliana	Bch01G012550	Bch02G046270	AtBBE19	FAD-binding Berberine family protein	BIR1	BAK1-interacting receptor-like kinase 1
AT4G20860	AT5G64440	STRING	Arabidopsis thaliana	Bch01G012570	Bch06G033060	AtBBE22	FAD-binding Berberine family protein	FAAH	fatty acid amide hydrolase
AT4G21323	AT4G21390	STRING	Arabidopsis thaliana	Bch03G053630	Bch01G013350	None	Subtilase family protein	B120	S-locus lectin protein kinase family protein
AT4G21323	AT4G21230	STRING	Arabidopsis thaliana	Bch03G053630	Bch06G051460	None	Subtilase family protein	CRK27	cysteine-rich RLK (RECEPTOR-like protein kinase) 27
AT4G21630	AT1G49270	STRING	Arabidopsis thaliana	Bch03G053800	Bch06G004370	None	Subtilase family protein		
AT4G21630	AT3G18810	STRING	Arabidopsis thaliana	Bch03G053800	Bch01G039570	None	Subtilase family protein		
AT4G21630	AT1G10620	STRING	Arabidopsis thaliana	Bch03G053800	Bch08G036620	None	Subtilase family protein		
AT4G23170	AT4G00960	STRING	Arabidopsis thaliana	Bch03G055110	Bch02G030380	EP1	receptor-like protein kinase-related family protein	None	Protein kinase superfamily protein
AT4G23170	AT1G70520	STRING	Arabidopsis thaliana	Bch03G055110	Bch07G039420	EP1	receptor-like protein kinase-related family protein	CRK2	cysteine-rich RLK (RECEPTOR-like protein kinase) 2
AT4G23170	AT4G11890	STRING	Arabidopsis thaliana	Bch03G055110	Bch03G029830	EP1	receptor-like protein kinase-related family protein	ARCK1	Protein kinase superfamily protein
AT4G24230	AT1G31812	STRING	Arabidopsis thaliana	Bch01G015950	Bch05G028760	ACBP3	acyl-CoA-binding domain 3	ACBP6	acyl-CoA-binding protein 6
AT4G25000	AT4G24040	STRING	Arabidopsis thaliana	Bch01G024050	Bch01G015710	AMY1	alpha-amylase-like protein	TRE1	trehalase 1
AT4G25820	AT4G19680	STRING	Arabidopsis thaliana	Bch03G057210	Bch01G011850	XTH14	xyloglucan endotransglucosylase/hydrolase 14	IRT2	iron regulated transporter 2
AT4G25820	AT1G70460	STRING	Arabidopsis thaliana	Bch03G057210	Bch07G039310	XTH14	xyloglucan endotransglucosylase/hydrolase 14		
AT4G25820	AT5G49270	STRING	Arabidopsis thaliana	Bch03G057210	Bch09G004890	XTH14	xyloglucan endotransglucosylase/hydrolase 14	SHV2	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
AT4G25820	AT5G16900	STRING	Arabidopsis thaliana	Bch03G057210	Bch09G071380	XTH14	xyloglucan endotransglucosylase/hydrolase 14	None	Leucine-rich repeat protein kinase family protein
